time,OMEGA_REF_omegaRef_grp_0_value
1.45,1.000047
1.455,1.000048
1.46,1.000048
1.465,1.000048
1.47,1.000048
1.475,1.000048
1.48,1.000048
1.485,1.000048
1.49,1.000049
1.495,1.000049
1.5,1.000049
1.505,1.000049
1.51,1.000049
1.515,1.000049
1.52,1.000049
1.525,1.00005
1.53,1.00005
1.535,1.00005
1.54,1.00005
1.545,1.00005
1.55,1.00005
1.555,1.00005
1.56,1.000051
1.565,1.000051
1.57,1.000051
1.575,1.000051
1.58,1.000051
1.585,1.000051
1.59,1.000051
1.595,1.000051
1.6,1.000052
1.605,1.000052
1.61,1.000052
1.615,1.000052
1.62,1.000052
1.625,1.000052
1.63,1.000052
1.635,1.000053
1.64,1.000053
1.645,1.000053
1.65,1.000053
1.655,1.000053
1.66,1.000053
1.665,1.000053
1.67,1.000053
1.675,1.000054
1.68,1.000054
1.685,1.000054
1.69,1.000054
1.695,1.000054
1.7,1.000054
1.705,1.000054
1.71,1.000054
1.715,1.000054
1.72,1.000055
1.725,1.000055
1.73,1.000055
1.735,1.000055
1.74,1.000055
1.745,1.000055
1.75,1.000055
1.755,1.000055
1.76,1.000056
1.765,1.000056
1.77,1.000056
1.775,1.000056
1.78,1.000056
1.785,1.000056
1.79,1.000056
1.795,1.000056
1.8,1.000056
1.805,1.000057
1.81,1.000057
1.815,1.000057
1.82,1.000057
1.825,1.000057
1.83,1.000057
1.835,1.000057
1.84,1.000057
1.845,1.000057
1.85,1.000058
1.855,1.000058
1.86,1.000058
1.865,1.000058
1.87,1.000058
1.875,1.000058
1.88,1.000058
1.885,1.000058
1.89,1.000058
1.895,1.000058
1.9,1.000059
1.905,1.000059
1.91,1.000059
1.915,1.000059
1.92,1.000059
1.925,1.000059
1.93,1.000059
1.935,1.000059
1.94,1.000059
1.945,1.000059
1.95,1.00006
1.955,1.00006
1.96,1.00006
1.965,1.00006
1.97,1.00006
1.975,1.00006
1.98,1.00006
1.985,1.00006
1.99,1.00006
1.995,1.00006
2,1.000061
2.005,1.000061
2.01,1.000061
2.015,1.000061
2.02,1.000061
2.025,1.000061
2.03,1.000061
2.035,1.000061
2.04,1.000061
2.045,1.000061
2.05,1.000062
2.055,1.000062
2.06,1.000062
2.065,1.000062
2.07,1.000062
2.075,1.000062
2.08,1.000062
2.085,1.000062
2.09,1.000062
2.095,1.000062
2.1,1.000063
2.105,1.000063
2.11,1.000063
2.115,1.000063
2.12,1.000063
2.125,1.000063
2.13,1.000063
2.135,1.000063
2.14,1.000063
2.145,1.000063
2.15,1.000064
2.155,1.000064
2.16,1.000064
2.165,1.000064
2.17,1.000064
2.175,1.000064
2.18,1.000064
2.185,1.000064
2.19,1.000064
2.195,1.000064
2.2,1.000064
2.205,1.000065
2.21,1.000065
2.215,1.000065
2.22,1.000065
2.225,1.000065
2.23,1.000065
2.235,1.000065
2.24,1.000065
2.245,1.000065
2.25,1.000065
2.255,1.000066
2.26,1.000066
2.265,1.000066
2.27,1.000066
2.275,1.000066
2.28,1.000066
2.285,1.000066
2.29,1.000066
2.295,1.000066
2.3,1.000066
2.305,1.000067
2.31,1.000067
2.315,1.000067
2.32,1.000067
2.325,1.000067
2.33,1.000067
2.335,1.000067
2.34,1.000067
2.345,1.000067
2.35,1.000067
2.355,1.000068
2.36,1.000068
2.365,1.000068
2.37,1.000068
2.375,1.000068
2.38,1.000068
2.385,1.000068
2.39,1.000068
2.395,1.000068
2.4,1.000068
2.405,1.000069
2.41,1.000069
2.415,1.000069
2.42,1.000069
2.425,1.000069
2.43,1.000069
2.435,1.000069
2.44,1.000069
2.445,1.000069
2.45,1.000069
2.455,1.00007
2.46,1.00007
2.465,1.00007
2.47,1.00007
2.475,1.00007
2.48,1.00007
2.485,1.00007
2.49,1.00007
2.495,1.00007
2.5,1.00007
2.505,1.00007
2.51,1.000071
2.515,1.000071
2.52,1.000071
2.525,1.000071
2.53,1.000071
2.535,1.000071
2.54,1.000071
2.545,1.000071
2.55,1.000071
2.555,1.000071
2.56,1.000071
2.565,1.000072
2.57,1.000072
2.575,1.000072
2.58,1.000072
2.585,1.000072
2.59,1.000072
2.595,1.000072
2.6,1.000072
2.605,1.000072
2.61,1.000072
2.615,1.000072
2.62,1.000073
2.625,1.000073
2.63,1.000073
2.635,1.000073
2.64,1.000073
2.645,1.000073
2.65,1.000073
2.655,1.000073
2.66,1.000073
2.665,1.000073
2.67,1.000073
2.675,1.000074
2.68,1.000074
2.685,1.000074
2.69,1.000074
2.695,1.000074
2.7,1.000074
2.705,1.000074
2.71,1.000074
2.715,1.000074
2.72,1.000074
2.725,1.000074
2.73,1.000074
2.735,1.000074
2.74,1.000075
2.745,1.000075
2.75,1.000075
2.755,1.000075
2.76,1.000075
2.765,1.000075
2.77,1.000075
2.775,1.000075
2.78,1.000075
2.785,1.000075
2.79,1.000075
2.795,1.000075
2.8,1.000076
2.805,1.000076
2.81,1.000076
2.815,1.000076
2.82,1.000076
2.825,1.000076
2.83,1.000076
2.835,1.000076
2.84,1.000076
2.845,1.000076
2.85,1.000076
2.855,1.000076
2.86,1.000076
2.865,1.000077
2.87,1.000077
2.875,1.000077
2.88,1.000077
2.885,1.000077
2.89,1.000077
2.895,1.000077
2.9,1.000077
2.905,1.000077
2.91,1.000077
2.915,1.000077
2.92,1.000077
2.925,1.000077
2.93,1.000078
2.935,1.000078
2.94,1.000078
2.945,1.000078
2.95,1.000078
2.955,1.000078
2.96,1.000078
2.965,1.000078
2.97,1.000078
2.975,1.000078
2.98,1.000078
2.985,1.000078
2.99,1.000078
2.995,1.000079
3,1.000079
3.005,1.000079
3.01,1.000079
3.015,1.000079
3.02,1.000079
3.025,1.000079
3.03,1.000079
3.035,1.000079
3.04,1.000079
3.045,1.000079
3.05,1.000079
3.055,1.000079
3.06,1.000079
3.065,1.00008
3.07,1.00008
3.075,1.00008
3.08,1.00008
3.085,1.00008
3.09,1.00008
3.095,1.00008
3.1,1.00008
3.105,1.00008
3.11,1.00008
3.115,1.00008
3.12,1.00008
3.125,1.00008
3.13,1.00008
3.135,1.000081
3.14,1.000081
3.145,1.000081
3.15,1.000081
3.155,1.000081
3.16,1.000081
3.165,1.000081
3.17,1.000081
3.175,1.000081
3.18,1.000081
3.185,1.000081
3.19,1.000081
3.195,1.000081
3.2,1.000082
3.205,1.000082
3.21,1.000082
3.215,1.000082
3.22,1.000082
3.225,1.000082
3.23,1.000082
3.235,1.000082
3.24,1.000082
3.245,1.000082
3.25,1.000082
3.255,1.000082
3.26,1.000082
3.265,1.000082
3.27,1.000083
3.275,1.000083
3.28,1.000083
3.285,1.000083
3.29,1.000083
3.295,1.000083
3.3,1.000083
3.305,1.000083
3.31,1.000083
3.315,1.000083
3.32,1.000083
3.325,1.000083
3.33,1.000083
3.335,1.000083
3.34,1.000083
3.345,1.000084
3.35,1.000084
3.355,1.000084
3.36,1.000084
3.365,1.000084
3.37,1.000084
3.375,1.000084
3.38,1.000084
3.385,1.000084
3.39,1.000084
3.395,1.000084
3.4,1.000084
3.405,1.000084
3.41,1.000084
3.415,1.000084
3.42,1.000085
3.425,1.000085
3.43,1.000085
3.435,1.000085
3.44,1.000085
3.445,1.000085
3.45,1.000085
3.455,1.000085
3.46,1.000085
3.465,1.000085
3.47,1.000085
3.475,1.000085
3.48,1.000085
3.485,1.000085
3.49,1.000085
3.495,1.000085
3.5,1.000085
3.505,1.000086
3.51,1.000086
3.515,1.000086
3.52,1.000086
3.525,1.000086
3.53,1.000086
3.535,1.000086
3.54,1.000086
3.545,1.000086
3.55,1.000086
3.555,1.000086
3.56,1.000086
3.565,1.000086
3.57,1.000086
3.575,1.000086
3.58,1.000086
3.585,1.000086
3.59,1.000087
3.595,1.000087
3.6,1.000087
3.605,1.000087
3.61,1.000087
3.615,1.000087
3.62,1.000087
3.625,1.000087
3.63,1.000087
3.635,1.000087
3.64,1.000087
3.645,1.000087
3.65,1.000087
3.655,1.000087
3.66,1.000087
3.665,1.000087
3.67,1.000087
3.675,1.000087
3.68,1.000088
3.685,1.000088
3.69,1.000088
3.695,1.000088
3.7,1.000088
3.705,1.000088
3.71,1.000088
3.715,1.000088
3.72,1.000088
3.725,1.000088
3.73,1.000088
3.735,1.000088
3.74,1.000088
3.745,1.000088
3.75,1.000088
3.755,1.000088
3.76,1.000088
3.765,1.000088
3.77,1.000088
3.775,1.000089
3.78,1.000089
3.785,1.000089
3.79,1.000089
3.795,1.000089
3.8,1.000089
3.805,1.000089
3.81,1.000089
3.815,1.000089
3.82,1.000089
3.825,1.000089
3.83,1.000089
3.835,1.000089
3.84,1.000089
3.845,1.000089
3.85,1.000089
3.855,1.000089
3.86,1.000089
3.865,1.000089
3.87,1.000089
3.875,1.00009
3.88,1.00009
3.885,1.00009
3.89,1.00009
3.895,1.00009
3.9,1.00009
3.905,1.00009
3.91,1.00009
3.915,1.00009
3.92,1.00009
3.925,1.00009
3.93,1.00009
3.935,1.00009
3.94,1.00009
3.945,1.00009
3.95,1.00009
3.955,1.00009
3.96,1.00009
3.965,1.00009
3.97,1.00009
3.975,1.000091
3.98,1.000091
3.985,1.000091
3.99,1.000091
3.995,1.000091
4,1.000091
4.005,1.000091
4.01,1.000091
4.015,1.000091
4.02,1.000091
4.025,1.000091
4.03,1.000091
4.035,1.000091
4.04,1.000091
4.045,1.000091
4.05,1.000091
4.055,1.000091
4.06,1.000091
4.065,1.000091
4.07,1.000091
4.075,1.000092
4.08,1.000092
4.085,1.000092
4.09,1.000092
4.095,1.000092
4.1,1.000092
4.105,1.000092
4.11,1.000092
4.115,1.000092
4.12,1.000092
4.125,1.000092
4.13,1.000092
4.135,1.000092
4.14,1.000092
4.145,1.000092
4.15,1.000092
4.155,1.000092
4.16,1.000092
4.165,1.000092
4.17,1.000092
4.175,1.000092
4.18,1.000093
4.185,1.000093
4.19,1.000093
4.195,1.000093
4.2,1.000093
4.205,1.000093
4.21,1.000093
4.215,1.000093
4.22,1.000093
4.225,1.000093
4.23,1.000093
4.235,1.000093
4.24,1.000093
4.245,1.000093
4.25,1.000093
4.255,1.000093
4.26,1.000093
4.265,1.000093
4.27,1.000093
4.275,1.000093
4.28,1.000093
4.285,1.000093
4.29,1.000093
4.295,1.000094
4.3,1.000094
4.305,1.000094
4.31,1.000094
4.315,1.000094
4.32,1.000094
4.325,1.000094
4.33,1.000094
4.335,1.000094
4.34,1.000094
4.345,1.000094
4.35,1.000094
4.355,1.000094
4.36,1.000094
4.365,1.000094
4.37,1.000094
4.375,1.000094
4.38,1.000094
4.385,1.000094
4.39,1.000094
4.395,1.000094
4.4,1.000094
4.405,1.000094
4.41,1.000094
4.415,1.000094
4.42,1.000094
4.425,1.000095
4.43,1.000095
4.435,1.000095
4.44,1.000095
4.445,1.000095
4.45,1.000095
4.455,1.000095
4.46,1.000095
4.465,1.000095
4.47,1.000095
4.475,1.000095
4.48,1.000095
4.485,1.000095
4.49,1.000095
4.495,1.000095
4.5,1.000095
4.505,1.000095
4.51,1.000095
4.515,1.000095
4.52,1.000095
4.525,1.000095
4.53,1.000095
4.535,1.000095
4.54,1.000095
4.545,1.000095
4.55,1.000095
4.555,1.000095
4.56,1.000095
4.565,1.000095
4.57,1.000095
4.575,1.000095
4.58,1.000096
4.585,1.000096
4.59,1.000096
4.595,1.000096
4.6,1.000096
4.605,1.000096
4.61,1.000096
4.615,1.000096
4.62,1.000096
4.625,1.000096
4.63,1.000096
4.635,1.000096
4.64,1.000096
4.645,1.000096
4.65,1.000096
4.655,1.000096
4.66,1.000096
4.665,1.000096
4.67,1.000096
4.675,1.000096
4.68,1.000096
4.685,1.000096
4.69,1.000096
4.695,1.000096
4.7,1.000096
4.705,1.000096
4.71,1.000096
4.715,1.000096
4.72,1.000096
4.725,1.000096
4.73,1.000096
4.735,1.000096
4.74,1.000096
4.745,1.000096
4.75,1.000096
4.755,1.000097
4.76,1.000097
4.765,1.000097
4.77,1.000097
4.775,1.000097
4.78,1.000097
4.785,1.000097
4.79,1.000097
4.795,1.000097
4.8,1.000097
4.805,1.000097
4.81,1.000097
4.815,1.000097
4.82,1.000097
4.825,1.000097
4.83,1.000097
4.835,1.000097
4.84,1.000097
4.845,1.000097
4.85,1.000097
4.855,1.000097
4.86,1.000097
4.865,1.000097
4.87,1.000097
4.875,1.000097
4.88,1.000097
4.885,1.000097
4.89,1.000097
